         1248401 function calls (1153009 primitive calls) in 14.355 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 ragged_dispatch.py:496(register_dispatchers)
        1    0.000    0.000    0.007    0.007 subprocess.py:42(<module>)
     1943    0.002    0.000    0.007    0.000 tf_stack.py:139(extract_stack)
     2000    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        3    0.000    0.000    0.007    0.002 errors.py:15(<module>)
        1    0.000    0.000    0.007    0.007 signal.py:35(<module>)
        1    0.000    0.000    0.007    0.007 secrets.py:7(<module>)
      323    0.001    0.000    0.007    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.007    0.007 _datasource.py:36(<module>)
      600    0.003    0.000    0.007    0.000 registry.py:44(register)
        2    0.000    0.000    0.007    0.004 saved_object_graph_pb2.py:5(<module>)
        1    0.000    0.000    0.007    0.007 core.py:15(<module>)
     1927    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.007    0.007 gen_dataset_ops.py:4(<module>)
        1    0.000    0.000    0.007    0.007 dataset.py:12(<module>)
      165    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
     2466    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:151(__exit__)
       53    0.007    0.000    0.007    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
        2    0.000    0.000    0.007    0.003 node_def_pb2.py:5(<module>)
        1    0.000    0.000    0.007    0.007 special_math_ops.py:18(<module>)
        1    0.000    0.000    0.007    0.007 layers.py:17(<module>)
       61    0.000    0.000    0.007    0.000 {h5py._objects.with_phil}
      310    0.001    0.000    0.007    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
21124/21120    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.007    0.007 monitored_session.py:16(<module>)
    41858    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.007    0.007 image_grad.py:15(<module>)
        2    0.000    0.000    0.007    0.003 tensor_pb2.py:5(<module>)
        1    0.000    0.000    0.007    0.007 specifiers.py:275(Specifier)
        1    0.000    0.000    0.007    0.007 mirrored_strategy.py:15(<module>)
        1    0.000    0.000    0.006    0.006 lookup_ops.py:15(<module>)
        1    0.000    0.000    0.006    0.006 reduction.py:10(<module>)
       97    0.002    0.000    0.006    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.006    0.006 ragged_functional_ops.py:15(<module>)
        1    0.000    0.000    0.006    0.006 reader.py:18(<module>)
        1    0.000    0.000    0.006    0.006 boosted_trees.py:15(<module>)
        1    0.000    0.000    0.006    0.006 reader.py:45(Reader)
        1    0.000    0.000    0.006    0.006 py_func.py:15(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:150(<module>)
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
        1    0.000    0.000    0.006    0.006 generic_utils.py:1(<module>)
        1    0.000    0.000    0.006    0.006 load_v1_in_v2.py:15(<module>)
        1    0.000    0.000    0.006    0.006 basic.py:7(<module>)
6171/4832    0.004    0.000    0.006    0.000 module_wrapper.py:151(__getattribute__)
        1    0.000    0.000    0.006    0.006 summary_io.py:15(<module>)
      308    0.003    0.000    0.006    0.000 shape_base.py:512(expand_dims)
        1    0.000    0.000    0.006    0.006 ctc_ops.py:15(<module>)
        1    0.000    0.000    0.006    0.006 convert_to_constants.py:15(<module>)
        1    0.000    0.000    0.006    0.006 compilation_result_pb2.py:5(<module>)
       30    0.000    0.000    0.006    0.000 __init__.py:2191(_handle_ns)
        2    0.000    0.000    0.006    0.003 case.py:1(<module>)
        2    0.000    0.000    0.006    0.003 pywrap_tensorflow.py:15(<module>)
       47    0.002    0.000    0.006    0.000 enum.py:135(__new__)
        1    0.000    0.000    0.006    0.006 execute.py:15(<module>)
        1    0.000    0.000    0.006    0.006 linalg.py:10(<module>)
        1    0.000    0.000    0.006    0.006 errors_impl.py:15(<module>)
      122    0.000    0.000    0.006    0.000 ragged_dispatch.py:522(_ragged_op_signature)
        1    0.000    0.000    0.005    0.005 script_ops.py:15(<module>)
        1    0.000    0.000    0.005    0.005 training.py:2(<module>)
      135    0.000    0.000    0.005    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.005    0.005 gen_image_ops.py:4(<module>)
        4    0.000    0.000    0.005    0.001 __init__.py:81(<module>)
