         3736770 function calls (3535359 primitive calls) in 18.023 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.038    0.038 backend.py:5(<module>)
      935    0.009    0.000    0.038    0.000 ops.py:3462(_create_op_helper)
      282    0.020    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        4    0.000    0.000    0.037    0.009 core.py:401(call)
        1    0.000    0.000    0.037    0.037 __init__.py:189(<module>)
        1    0.000    0.000    0.037    0.037 array_ops.py:16(<module>)
        1    0.000    0.000    0.037    0.037 cross_device_ops.py:15(<module>)
     4462    0.005    0.000    0.036    0.000 variables.py:3047(global_variables)
        1    0.000    0.000    0.036    0.036 summary_v2.py:26(<module>)
    19333    0.015    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     4042    0.013    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        2    0.000    0.000    0.036    0.018 tensor_util.py:15(<module>)
        3    0.000    0.000    0.035    0.012 files.py:316(__init__)
       16    0.000    0.000    0.035    0.002 convolutional.py:1843(call)
        1    0.000    0.000    0.035    0.035 ragged_batch_gather_with_default_op.py:15(<module>)
       16    0.000    0.000    0.035    0.002 tensorflow_backend.py:4107(depthwise_conv2d)
       16    0.000    0.000    0.035    0.002 nn_impl.py:727(depthwise_conv2d)
        1    0.000    0.000    0.035    0.035 training_arrays.py:16(<module>)
       63    0.000    0.000    0.035    0.001 array_ops.py:176(identity)
       21    0.000    0.000    0.034    0.002 six.py:91(__get__)
       23    0.000    0.000    0.034    0.001 six.py:80(_import_module)
       93    0.000    0.000    0.034    0.000 io_utils.py:186(__init__)
       63    0.000    0.000    0.034    0.001 gen_array_ops.py:4207(identity)
       13    0.000    0.000    0.034    0.003 six.py:159(_resolve)
        1    0.000    0.000    0.034    0.034 api.py:15(<module>)
      519    0.002    0.000    0.033    0.000 {built-in method builtins.sorted}
     8172    0.006    0.000    0.033    0.000 ops.py:5858(get_default_graph)
      285    0.004    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       20    0.000    0.000    0.033    0.002 __init__.py:2011(_by_version_descending)
        1    0.000    0.000    0.033    0.033 tpu_strategy.py:15(<module>)
        2    0.000    0.000    0.033    0.016 app.py:16(<module>)
        1    0.000    0.000    0.032    0.032 ragged_dispatch.py:15(<module>)
        1    0.000    0.000    0.032    0.032 cross_device_utils.py:15(<module>)
        1    0.000    0.000    0.032    0.032 affine_transformations.py:2(<module>)
     4525    0.005    0.000    0.032    0.000 ops.py:6213(get_collection)
       22    0.000    0.000    0.031    0.001 core.py:708(call)
        4    0.000    0.000    0.031    0.008 training_utils.py:415(weighted)
        1    0.000    0.000    0.031    0.031 request.py:68(<module>)
        1    0.000    0.000    0.031    0.031 requirements.py:4(<module>)
     1835    0.031    0.000    0.031    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.031    0.031 conversion.py:15(<module>)
       22    0.000    0.000    0.031    0.001 Blaze_profile.py:46(<lambda>)
       22    0.000    0.000    0.031    0.001 Blaze_profile.py:21(channel_pad)
       37    0.001    0.000    0.030    0.001 gen_random_ops.py:769(random_uniform)
      193    0.000    0.000    0.030    0.000 sre_compile.py:598(_code)
